rownames(fixed_effects),Estimate,Est.Error,Q2.5,Q97.5
Intercept,0.11286656281829083,0.38975351147622384,-0.6517552215974255,0.8787645385027752
primeStrength0,-1.9268091125077156,0.27053256236702516,-2.4713047995974056,-1.391793400495409
primeStrength1,0.4490160299864245,0.26043859977681677,-0.0588430301816699,0.9694392279207753
primeStrength2,-0.2782110024175775,0.2388089766425213,-0.75017501710171,0.19901484743476122
primeTypeNumber,0.8209141829800815,0.3013255886729686,0.24253928940865557,1.4264752118135542
primeTypeAdMhoc,-2.758892193126524,0.41869011445690696,-3.615092061859825,-1.9685792149199965
primeStrength0:primeTypeNumber,0.1918864981506395,0.38865008781666216,-0.5804279435158382,0.9631570971335016
primeStrength1:primeTypeNumber,0.4509030282204907,0.47149121930356847,-0.3993479477396268,1.4603332798430495
primeStrength2:primeTypeNumber,0.23230768795817866,0.3572351456643074,-0.4764257702572551,0.9189566938531972
primeStrength0:primeTypeAdMhoc,1.2726866449948218,0.434036622273982,0.3951435195147825,2.102243846962455
primeStrength1:primeTypeAdMhoc,0.5326135723506986,0.42156175414997654,-0.31337032922964286,1.3343089514395907
primeStrength2:primeTypeAdMhoc,0.42235016539579134,0.38320285133478527,-0.34861038342306616,1.1594726120371832
