rownames(fixed_effects),Estimate,Est.Error,Q2.5,Q97.5
Intercept,-0.798064427726534,0.3975412220099539,-1.5598677718555234,-0.015696386725395767
primeStrength0,-1.5131278261775043,0.3009586730516141,-2.120327459571514,-0.9399251043171231
primeStrength1,0.5466272780378273,0.25438350226671613,0.04372631519963922,1.0415949814207397
primeStrength2,0.2466974246153499,0.24877427788417747,-0.24477578523157126,0.7289027860349201
primeTypeNumber,0.7325417447872474,0.32768966834032476,0.0829855831011693,1.3664785885738837
primeTypeAdMhoc,-3.146258654444845,0.5455259643530957,-4.257845455172283,-2.1354991266139125
primeStrength0:primeTypeNumber,0.06420155849321148,0.39112522712377285,-0.7128528620736451,0.827563639778744
primeStrength1:primeTypeNumber,-0.026091051487400596,0.36983938162305763,-0.730686480776,0.7169763718987742
primeStrength2:primeTypeNumber,-0.042005325371891805,0.3851821456510299,-0.8076061764258562,0.7176562363263386
primeStrength0:primeTypeAdMhoc,-0.5382344008497973,1.010916863567534,-2.967839304800344,0.924071502852326
primeStrength1:primeTypeAdMhoc,0.3148735974649191,0.49084209378133165,-0.6692338150197228,1.2561376609664243
primeStrength2:primeTypeAdMhoc,0.288159461709933,0.4906762793005426,-0.699675866642511,1.2352553279802816
